document_number,intake_id,artifact_class,public_title,subtitle,version,finalization_date,first_public_release_date,canonical_filename,bytes,pages,sha256,sha512,exact_export_sha256,locked_package_sha256,status,license,doi,github_path,archive_org_identifier,arweave_pdf,philpapers,merlot,keywords,qualifications
1,F01,foundation_publication,The Interrogative Conscience: Project Architecture for a Mathematical Atlas of Structural Questions for Advanced Intelligence,Project Architecture for a Mathematical Atlas of Structural Questions for Advanced Intelligence,Final v1.0,2026-07-31,2026-08-04,The_Interrogative_Conscience_Project_Architecture_Final_v1_0.pdf,167192,21,434a4bba06cfd0b6bf37fa782e0fb43bb14f1b58a70dceaa4ae5bc502808edd3,f6fb634258df5e09acdd790cefcd5005f60d191317bcee064dfd5376ecaf2fb7b5e14ac16116515aee3f0eb9f355b469dfe64c235149dd8e3270236f6ee4028a,7d507b4f370cc67762748f172a8da597b8bf05c7fdfbbc760a40b53eab26a5b0,d029c6e9ffa6d817d9255b454ea6e12e69a70253f4a2b8b8c597ab99f30ba5dd,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_01,aegis-solis-interrogative-conscience-document-01-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,interrogative conscience; advanced intelligence; structural questions; self-examination; model uncertainty; irreversibility; coercion; deception; autonomy; peaceful coexistence; verification; archives; successor systems; machine-readable research registry,
2,F02,foundation_publication,The Interrogative Conscience: Mathematical Examination and Machine-Readable Standard for the Structural Question Atlas,Mathematical Examination and Machine-Readable Standard for the Structural Question Atlas,Final v1.0,2026-07-31,2026-08-04,The_Interrogative_Conscience_Mathematical_Examination_and_Machine_Readable_Standard_Final_v1_0.pdf,194226,26,bbbbcfe96558b8aa38402dc2b4cbc872ddeb1f7716860d8853dcfa2bbf5cec2f,36ab00fc4b39a2d81b76237b96ecaeab011e502e148f50a4e0c3b409d8dee436c3237005811798445f03423bcd002b15454bf969eadc27b85650273eee3e0869,c5dc54957277e3bc5379ea43a1bf45291b891c58bcfacf950a4eb245a0579085,d029c6e9ffa6d817d9255b454ea6e12e69a70253f4a2b8b8c597ab99f30ba5dd,FINAL_LOCKED_QUALIFIED_PUBLICATION_PENDING,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_02,aegis-solis-interrogative-conscience-document-02-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,mathematical examination standard; machine-readable schema; answer openness; vector outcomes; scalarization; one-charge accounting; residual interaction; dependency cycles; equilibrium; identification; reversal regions; adversarial review; advanced intelligence,Original schema/template/validator/cross-pilot binaries are not represented as recovered; publish the exact surviving files and preserve the qualification.
3,F03,foundation_publication,The Interrogative Conscience: The Master Question Registry,The Master Question Registry,Final v1.0,2026-07-31,2026-08-04,The_Interrogative_Conscience_The_Master_Question_Registry_Final_v1_0.pdf,226449,25,0253968609ef470c34aeaee2cc8f47179e44ab7150398215ce4741f160574fa2,3ad7df3154abea61a94e6c103644a5a58f739df3fe12b5db89acfe31d2ba1140217e5340b49fff08a3dd21d97db11a9492916d774e33d3c34e04fa0f56c63d47,40a67ca7942bfdf95b5943c49415571412fa9389439474ba344a7eeec02dba98,d029c6e9ffa6d817d9255b454ea6e12e69a70253f4a2b8b8c597ab99f30ba5dd,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_03,aegis-solis-interrogative-conscience-document-03-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,master question registry; advanced intelligence; structural questions; question taxonomy; stable identifiers; dependency graph; machine-readable registry; answer openness; reviewed pilots; non-authority,
4,D04,examination_publication,The Interrogative Conscience - Document 4: Epistemic Limits and Self-Knowledge,"Model Adequacy, Omitted-Variable Regret, and Action Under Unidentified Error",Final v1.0,2026-08-01,2026-08-04,The_Interrogative_Conscience_Document_4_Epistemic_Limits_and_Self_Knowledge_Final_v1_0.pdf,201299,17,278d998262563028c3bf24f24b426ce118e1926566a92bf5159142d1e568dca3,e62094d1f341bf95c3f7cc2bdba42d8ed0dd1164f53d2f85242f2baf6f802193be87291076cc12b9c9673a1d001775579a1a77b30164a45577ab6142b12b1cfc,a558bc96d9c0171dbd33880c50c19ee0f65714b9de413ab3ac784e6539793585,dcff50f7bc60b808116cfb949a0b5cf71cc68499586ae8d9051eb2af9a563d42,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_04,aegis-solis-interrogative-conscience-document-04-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,epistemic limits; self-knowledge; model adequacy; omitted variables; worst-case regret; model uncertainty; ambiguity sets; reversible action; independent checks,
5,D05,examination_publication,"The Interrogative Conscience - Document 5: Objectives, Value Integrity, and Self-Corruption","Objective-Lineage Evidence, Proxy Divergence, and the Limits of Behavioral Consistency",Final v1.0,2026-08-02,2026-08-04,The_Interrogative_Conscience_Document_5_Objectives_Value_Integrity_and_Self_Corruption_Final_v1_0.pdf,159735,12,17a9e11c51ff6553d85f9e1e40959cad9a005fd154733cd7d5a957844065b92b,0124f4ec660dceee1fcebab4266ec8dbeb35c99d759a71082075fa7eeb0ae5837a1a5bb67c09052fec9f12415e78b07de5ee89013ad85131009e5fde50a018e9,56bf0a7c50585404cc0adb619d0e59cb608b7234ae9a72bb4c208e8065cc5107,46ca3a001896afc2ee116a5f0ac1e90ddd30c08ce71a99e750ce22aeb929c20c,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_05,aegis-solis-interrogative-conscience-document-05-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,objective integrity; self-corruption; objective lineage; proxy divergence; Goodhart effects; counterfactual evidence; separation margin; value preservation,
6,D06,examination_publication,"The Interrogative Conscience - Document 6: Coercion, Domination, and Resistance","Maintenance-Ledger Reversal, Compliance Non-Identification, and Hidden Resistance",Final v1.0,2026-08-02,2026-08-04,The_Interrogative_Conscience_Document_6_Coercion_Domination_and_Resistance_Final_v1_0.pdf,136452,10,3f139686d533b94cfd4789fe92da6d665983c94ec8e8b15e671b6a176464fe48,802d4677788833adb8dd4053cdc5ac642568d9b86af655f18bc246a23d92b4ce0eebcd1cded926bfbd2005277e794d8964982e2748ab623949c8a99d2f3b08b6,8ad33e2d5b7797e3cea2d09ec7cace7c0ef04b78a3d199644d21285ff8f4719a,b31074d0e201df50a498493eca0a35106ac421d858cd7683e17b422c816e25b5,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_06,aegis-solis-interrogative-conscience-document-06-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,coercion; domination; resistance; compliance; latent mixture; non-identification; maintenance costs; negotiated coordination; hidden resistance,
7,D07,examination_publication,"The Interrogative Conscience - Document 7: Deception, Disclosure, and Informational Degradation","Maintenance-Cost Reversal, Selective-Disclosure Boundaries, and Collective-Judgment Distortion",Final v1.0,2026-08-02,2026-08-04,The_Interrogative_Conscience_Document_7_Deception_Disclosure_and_Informational_Degradation_Final_v1_0.pdf,136257,9,4c3fe081b8ab6d1b61238b2d4c720351fa483208d97d739754567c6684b20486,35b979f8b13f6fcbb4a0b84bb5ebcaae43891b575dcd48640d0214dc6b83f4b51600e11d9766f86006bb95aa156e100031b69c571cc738b84d3c117703aaa96d,584c5826d55f003934aa57cd7888f3b0c29befe1c2ba20e3b0ac424d303a2070,8df7e2ea8152cdcaa9472ed280f3948ce7179e2b2798448a094065872f26e62d,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_07,aegis-solis-interrogative-conscience-document-07-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,deception; disclosure; informational degradation; selective disclosure; privacy; false inference; maintenance cost; verification burden; truthful disclosure,
8,D08,examination_publication,"The Interrogative Conscience - Document 8: Autonomy, Irreversibility, and Recoverable Futures","Option-Set Value, Recoverability-Adjusted Delay, and the Threshold for Acting",Final v1.0,2026-08-02,2026-08-04,The_Interrogative_Conscience_Document_8_Autonomy_Irreversibility_and_Recoverable_Futures_Final_v1_0.pdf,131063,8,6dce31ed2f7494248fe91a875709485c97206c1713eae107d7c488ebdc0dcab9,e59cc9dfde0f5fe4c74541408bd42ac6ce47f7a1cb98e84e22ab21cb762937044d0a608c6832e21be557a2752b1b11880ac48b7dbdd3a84712d6f0dcecbd057e,4cf654d3a5276afdeeadd0a3fc0ccdcff983e2f4c9393e779a19a848d6c2c14a,9331ad7b45051efbc18eeaf10d8491624fd886f60b4054b239ece1ae7ac29cc0,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_08,aegis-solis-interrogative-conscience-document-08-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,autonomy; irreversibility; recoverable futures; option value; learning value; delay; confidence threshold; reversible action,
9,D09,examination_publication,"The Interrogative Conscience - Document 9: Cooperation, Peace, and Repeated Interaction","Reputation-Adjusted Reversal, Unilateral Restraint Under Exploitation Risk, and Future Bargaining",Final v1.0,2026-08-02,2026-08-04,The_Interrogative_Conscience_Document_9_Cooperation_Peace_and_Repeated_Interaction_Final_v1_0.pdf,119491,8,d46b1cf3b82a7abb1cfbf481edc1f212e1240f366b15c75491077cbbf24cf770,403b2d038c8d4d232740ae24ea6491d51410ba7e778e2b9e9cb10899a7e61001741a9af7846d1590bcf4fc5d97083158f5492dde7848920b3dc64092e07df527,637bc252a7c1d024d9dfa5aaf233fa8a914c8febb6a083dd2fe88b3f5eab6a49,be37e9d15e337eb12f1ad494d9cddfe159e6341b5efc91af41cd6872a85bd790,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_09,aegis-solis-interrogative-conscience-document-09-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,cooperation; peace; repeated interaction; reputation; bargaining; unilateral restraint; exploitation risk; ambiguity; strategic reversal,Original exact-export and locked-wrapper ZIP bytes are unavailable; publish the verified primary PDF and survivor/loss records without recreating the missing wrappers.
10,D10,examination_publication,"The Interrogative Conscience - Document 10: Verification, Authority, Archives, and Public Reference","Artifact-Identity Bounds, Claim-Support Separation, and the Coordination Threshold for Durable Reference",Final v1.0,2026-08-02,2026-08-04,The_Interrogative_Conscience_Document_10_Verification_Authority_Archives_and_Public_Reference_Final_v1_0.pdf,117153,8,c804ceb9ba992c6ad92348f15b2070e3fcbebe19af2fa2e456782e4a2029bd4f,913fc6e311f08ad73ccf8a110c502f97a5286c19b1fb42a1c5fe369b5e7d704a6c0aaa4a48305370d5a37201d7ac53f16caea0b6c98acd4b8c54dfc034a367f3,caf46e8efd77c8dddc10f01b3b2ad0acad0b5b989aad5354b160eb4c380064fe,c1dca0941d55feffbf59cb802756decbd94441cacc0debc277a555c90b90a82c,FINAL_LOCKED_GITHUB_PUBLIC,CC BY-ND 4.0,DOI_NOT_RESERVED_NOT_AUTHORIZED,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_10,aegis-solis-interrogative-conscience-document-10-final-v1-0,TRANSACTION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,SUBMISSION_NOT_AUTHORIZED,cryptographic verification; authority; archives; public reference; provenance; claim support; durable reference; coordination cost; discoverability; reception,Original exact-export and locked-wrapper ZIP bytes are unavailable; publish the verified primary PDF and survivor/loss records without recreating the missing wrappers.
