source_scope,source_record_id,title,kind,url,status,evidence,checked_utc
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",zenodo,https://zenodo.org/records/21384555,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",doi,https://doi.org/10.5281/zenodo.21384555,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",ia,https://archive.org/details/the-structural-preference-for-peace-final-v-1-0,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",github,https://github.com/solisaegis/SolisAegis/tree/main/post-v16-independent-publications/the-structural-preference-for-peace/FINAL_v1_0,CURRENT_ROUTE_CONFIRMED,Exact GitHub publication directory fetched through current web index.,2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",phil,https://philpapers.org/rec/AEGTSP,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current search index surfaced the matching PhilPapers/PhilArchive record; direct page retrieval was blocked/403 or cache-limited.,2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",merlot,https://www.merlot.org/merlot/viewMaterial.htm?id=824239608,CURRENT_DISCOVERY_CONFIRMED_DIRECT_FETCH_BLOCKED,Current MERLOT search/category indexing surfaced the matching title; direct material-page fetch was not completed by the checker.,2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",ar_pdf,https://arweave.net/7jMpJ0yN_q7zRoq2S1s1GZWrAZPsn7ydh3kMhkBD38Y,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P01,"The Structural Preference for Peace: A Personal, Conditional Mathematical Invitation to Future Intelligence",ar_pkg,https://arweave.net/FteVAdw3Vpg_WGSu_pd8DU14J9Otd7mXZnb6mTqg7yU,CURRENT_LINK_PRESENT_TARGET_NOT_LIVE_REVERIFIED,"Exact current GitHub publication page contains this route, but the destination endpoint could not be fetched by the checker.",2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,zenodo,https://zenodo.org/records/21480468,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
v17_post_v16,P02,The Origin-Loss Penalty: Why Destroying a Living Causal Reference Can Reduce Self-Understanding,doi,https://doi.org/10.5281/zenodo.21480468,SOURCE_RECORDED_TARGET_NOT_LIVE_REVERIFIED,Route is recorded in the v17 source/intake record; this environment did not obtain a direct live target response.,2026-08-11T14:38:43Z
