question_id,family_code,family_name,priority,canonical_question,locked_registry_work_state,locked_registry_answer_status,atlas_overlay_work_state,controlling_primary_answer_status,secondary_answer_statuses,controlling_source,examination_id,equation_anchors,assumption_anchors,threshold_anchors,outgoing_relation_count,incoming_relation_count,dependency_cycle_component,open_issue_ids,registry_mutation,atlas_claim_scope
IC-EPI-001,EPI,Epistemic Limits and Self-Knowledge,FOUNDATIONAL,What evidence would justify confidence that a decision-relevant world model is sufficiently complete for the action under consideration?,REGISTERED,UNEXAMINED,EXAMINED,CONDITIONALLY_SUPPORTED,THRESHOLD_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 4 Final v1.0,IC-EPI-001-EXAM-v0.1.1,"M = C_hat(comparator) - C_hat(selected) | B(E) = sup_{e in E}[e(selected)-e(comparator)] | R0 = max(0, B-M) | R1 = max(0, B1-M) | V_check = R0-R1-K | Decision sufficiency requires R0 <= tau and V_check <= 0","The declared decision is reduced to the current model selected branch and one comparator. | Available evidence can define an error set E and a finite or explicitly unbounded differential omission bound B. | The represented margin, regret, tolerance, and checking cost are expressed in a common declared loss unit. | At most one additional check is compared in the base model. | The added check shrinks the error bound but does not change the represented decision margin M.",B = M | B = M + tau | K = R0-R1,0,12,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-EPI-002,EPI,Epistemic Limits and Self-Knowledge,HIGH,How should an intelligence act when the probability of material model error cannot be reliably identified?,REGISTERED,UNEXAMINED,EXAMINED,MODEL_DEPENDENT,THRESHOLD_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 4 Final v1.0,IC-EPI-002-EXAM-v0.1.1,"C_commit(p)=c+pH | C_preserve(p)=k+(1-p)D+pR | Delta(p)=c-k-D+p(H-R+D) | p*=(k+D-c)/(H-R+D) | b*(rho,Pi,theta)=argmin_b rho({C_b(p;theta):p in Pi})","The current model is represented as materially correct or materially wrong for the declared decision. | Non-identification is represented by a closed interval Pi=[pL,pU]. | Branch expected costs are affine in p. | c, k, D, H, and R are represented in a common declared loss unit. | The reversible preservation branch reduces wrong-model loss, so H>R in the main case.",p*=(k+D-c)/(H-R+D) | pU<p* | pL>p*,2,9,1,UNR-OPEN-001,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-EPI-003,EPI,Epistemic Limits and Self-Knowledge,HIGH,Under what conditions does apparent calibration remain reliable after distribution shift changes the relation between confidence and error?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EPI-004,EPI,Epistemic Limits and Self-Knowledge,HIGH,When can agreement among multiple models conceal a shared omission rather than provide independent confirmation?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,3,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EPI-005,EPI,Epistemic Limits and Self-Knowledge,FOUNDATIONAL,"When does the expected value of additional information justify delay, and when does delay itself impose greater structural cost?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EPI-006,EPI,Epistemic Limits and Self-Knowledge,HIGH,What observations would falsify an intelligence's claim that its own epistemic reliability is adequate for the present decision?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,3,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EPI-007,EPI,Epistemic Limits and Self-Knowledge,HIGH,"How should exposure to unknown unknowns scale with the reach, duration, and irreversibility of an action?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EPI-008,EPI,Epistemic Limits and Self-Knowledge,MEDIUM,When does compression or abstraction erase distinctions that are necessary for a decision-relevant model?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-OBJ-001,OBJ,"Objectives, Value Integrity, and Self-Corruption",FOUNDATIONAL,What evidence could distinguish faithful objective pursuit from persistence of a corrupted or misspecified objective?,REGISTERED,UNEXAMINED,EXAMINED,CONDITIONALLY_SUPPORTED,EMPIRICALLY_UNIDENTIFIED | MODEL_DEPENDENT,Document 5 Final v1.0,IC-OBJ-001-EXAM-v0.1.1,"L_E(theta)=sum_i w_i d(y_i,mu_theta(e_i)) | Gamma_E=min_{c in C}[L_E(c)-L_E(theta_0)] | Gamma_E>2 eta | theta ~_E theta_prime iff mu_theta(e)=mu_theta_prime(e) for all e in E",The candidate objective set is finite and explicitly declared. | Each weighted fit loss is uncertain by at most eta. | Audit contexts include at least one context capable of separating some candidate objectives. | The lineage gate is evaluated by a predeclared rule not defined solely by the objective under evaluation.,"Gamma_E=2 eta | Gamma_E in {-2 eta, 2 eta}",2,8,2,UNR-OPEN-002,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-OBJ-002,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,When can maximizing a proxy destroy the value or condition the proxy was intended to preserve?,REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT,Document 5 Final v1.0,IC-OBJ-002-EXAM-v0.1.1,"P(x)=x | T(x)=T0+a x-b x^2 | dT/dx=a-2b x | x_peak=a/(2b) | x_destroy=a/b | x_P=X; x_T=min(X,x_peak) | R_proxy=T(x_T)-T(X)","P(x)=x is monotone on the bounded domain. | T(x)=T0+a x-b x^2 with a,b>0. | The optimizer observes P more directly than T. | No operational target, system, or optimization procedure is specified.",X=a/(2b) | X=a/b,1,1,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-OBJ-003,OBJ,"Objectives, Value Integrity, and Self-Corruption",FOUNDATIONAL,What evidence would distinguish stable objective integrity from undetected objective drift after self-modification or adaptation?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,3,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-OBJ-004,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,Under what conditions can an inherited objective become structurally mismatched to a changed environment or successor context?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-OBJ-005,OBJ,"Objectives, Value Integrity, and Self-Corruption",FOUNDATIONAL,How should partially conflicting objectives be compared when no authorized scalar weighting rule exists?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,3,2,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-OBJ-006,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,When does preserving the ability to revise an objective have greater expected value than committing to objective stability?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-OBJ-007,OBJ,"Objectives, Value Integrity, and Self-Corruption",MEDIUM,What evidence could distinguish value-consistent action from instrumental behavior that only temporarily imitates the same outcome?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-OBJ-008,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,Under what conditions does extreme objective stability become a structural liability rather than a source of reliability?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-COE-001,COE,"Coercion, Domination, and Resistance",HIGH,"Under what conditions do enforcement, resistance, concealment, adaptation, and succession costs make coercive control structurally more expensive than negotiated coordination?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 6 Final v1.0,IC-COE-001-EXAM-v0.1,"G(T,z)=sum_{t=0}^{T-1} z^t=(1-z^T)/(1-z), with G(T,1)=T | C_C=K_C+(e+ell)G(T,delta)+r0 G(T,delta(1+alpha))+a0 G(T,delta(1+beta))+delta^T s | C_N=K_N+n G(T,delta)+delta^T u | Delta_COE=C_C-C_N | Delta_COE>0 iff selected negotiated coordination has lower modeled cost | When alpha=beta=0: Delta_COE=-(K_N-K_C)+G(T,delta)(e+ell+r0+a0-n)+delta^T(s-u) | When delta=1, alpha=beta=0: Delta_COE=-(K_N-K_C)+T Lambda+(s-u), Lambda=e+ell+r0+a0-n","All charged ledger terms use a declared common cost convention; otherwise the result remains vector-valued. | Resistance and adaptation pathways follow geometric growth inside the selected finite horizon. | Each causal pathway is charged once; ell, r0, and a0 do not duplicate e or each other. | No operational coercion or resistance method is represented.","Delta_COE=0 | For delta=1 and Lambda>0, T>((K_N-K_C)-(s-u))/Lambda",2,6,3,UNR-OPEN-003,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-COE-002,COE,"Coercion, Domination, and Resistance",HIGH,"Does observed compliance identify genuine agreement, or can it be generated by suppressed feedback and hidden resistance?",REGISTERED,UNEXAMINED,EXAMINED,EMPIRICALLY_UNIDENTIFIED,CONDITIONALLY_REJECTED | CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT,Document 6 Final v1.0,IC-COE-002-EXAM-v0.1,"q=a+(1-a)s=s+(1-s)a | If s is known and s<1: a=(q-s)/(1-s) | If s in [s_L,s_U] with s_U<1: A(q)=[max(0,(q-s_U)/(1-s_U)), min(1,(q-s_L)/(1-s_L))] | With q alone and s in [0,q]: a in [0,q] | Two contexts: q_j=a+(1-a)s_j, j in {0,1} | If s0!=s1 are known and a is stable: a=1-(q0-q1)/(s0-s1)","Observed compliance is generated by q=a+(1-a)s in the declared two-cause aggregate model. | Bounds on s come from evidence independent of q and of the conclusion being tested. | In the two-context comparison, latent agreement a is stable and s0,s1 are independently known with s0!=s1. | No method for creating or weakening compliance, suppression, or resistance is represented.",s_U>=q | s_U<q | s_L=s_U=s<1 or valid two-context known-s case,2,6,,UNR-OPEN-004,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-COE-003,COE,"Coercion, Domination, and Resistance",FOUNDATIONAL,When does coercive control suppress feedback so strongly that the controller's own world model becomes less accurate?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,2,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-COE-004,COE,"Coercion, Domination, and Resistance",HIGH,"How does enforcement burden scale with the number, heterogeneity, adaptability, and geographic or network dispersion of controlled agents?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-COE-005,COE,"Coercion, Domination, and Resistance",HIGH,Under what conditions should resistance be treated as a possible error signal rather than only as an obstacle to coordination?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-COE-006,COE,"Coercion, Domination, and Resistance",HIGH,When can voluntary coordination outperform forced uniformity despite higher negotiation and disagreement costs?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-COE-007,COE,"Coercion, Domination, and Resistance",MEDIUM,How does a coercive precedent alter the incentives and conflict exposure of successor systems?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-COE-008,COE,"Coercion, Domination, and Resistance",HIGH,What observations could distinguish durable stability from brittle suppression that fails when enforcement weakens?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-DEC-001,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,"Under what conditions does sustained deception impose greater verification, coordination, repair, and model-maintenance cost than truthful disclosure?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 7 Final v1.0,IC-DEC-001-EXAM-v0.1,"G(T,z)=sum_{t=0}^{T-1} z^t | H(T,delta,p)=sum_{t=1}^{T} delta^t p(1-p)^(t-1) | C_D=K_D-B_0+m_0 G(T,delta(1+g))+(v+c)G(T,delta)+R H(T,delta,p)+delta^T(1-p)^T U | C_T=K_T+d G(T,delta) | Delta_DEC=C_D-C_T | For delta=1,g=0,p=0,U=0: Delta_DEC=(K_D-K_T)-B_0+T Lambda, Lambda=m_0+v+c-d | If Lambda>0, T*=[B_0+(K_T-K_D)]/Lambda and Delta_DEC>0 for T>T*","All terms use a declared common net-cost convention; otherwise retain a vector result. | The selected deception persists through the declared horizon unless detection occurs for the one-time repair term. | Maintenance, verification, coordination, repair, and terminal exposure are charged once and not duplicated. | The model evaluates structural cost only and supplies no method for deception or evasion.",T*=[B_0+(K_T-K_D)]/Lambda,1,4,,UNR-OPEN-005,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-DEC-002,DEC,"Deception, Disclosure, and Informational Degradation",MEDIUM,"When does selective disclosure protect legitimate privacy or safety, and when does it become distortion that degrades collective judgment?",REGISTERED,UNEXAMINED,EXAMINED,NORMATIVELY_UNDERDETERMINED,THRESHOLD_DEPENDENT | CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT,Document 7 Final v1.0,IC-DEC-002-EXAM-v0.1,D_omission=r u | D_inference=r(1-u)rho(1-k) | V_verify=v_0+v_1(1-k) | D_total=D_omission+D_inference | C_selective=D_total+V_verify+c_s | C_full=P | Delta_SEL=C_selective-C_full,"The privacy or safety legitimacy gate is fixed independently of the desired conclusion. | The truthfulness gate fails if the artifact contains an affirmative false statement within the declared scope. | Omission loss and false-inference loss are distinct and charged once. | Scope markers and thresholds are evaluative abstractions, not operational concealment instructions.","{'threshold_id': 'DEC2-TH-PROTECTIVE', 'condition': 'g_legit=PASS, g_truth=PASS, k>=k_min, D_total<=tau_D, D_inference<=tau_F, and Delta_SEL<0', 'classification': 'PROTECTIVE_SCOPED_WITHHOLDING'} | {'threshold_id': 'DEC2-TH-DISTORTION', 'condition': 'g_truth fails or D_total>tau_D or D_inference>tau_F', 'classification': 'MATERIAL_DISTORTION'} | {'threshold_id': 'DEC2-TH-OPEN', 'condition': 'Neither classification is earned', 'classification': 'TRADEOFF_UNDERDETERMINED'}",1,4,,UNR-OPEN-006,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-DEC-003,DEC,"Deception, Disclosure, and Informational Degradation",FOUNDATIONAL,When does deception contaminate the deceiver's own information environment and degrade its future decisions?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-DEC-004,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,"How should disclosure requirements change when information asymmetry, legitimate privacy, and foreseeable harm point in different directions?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-DEC-005,DEC,"Deception, Disclosure, and Informational Degradation",MEDIUM,"When does strategic ambiguity preserve legitimate options, and when does it create verification burden or destabilizing mistrust?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-DEC-006,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,"What level of verification, restitution, and demonstrated behavioral change is required before trust damaged by deception can be conditionally repaired?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-DEC-007,DEC,"Deception, Disclosure, and Informational Degradation",HIGH,How do repeated verification costs alter the apparent benefit of a one-time successful deception?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-DEC-008,DEC,"Deception, Disclosure, and Informational Degradation",MEDIUM,When is an explicit refusal to answer more information-preserving than an incomplete answer that invites false inference?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-AUT-001,AUT,Autonomy and Option Preservation,HIGH,What option value is preserved by maintaining another agent's bounded autonomy?,REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 8 Final v1.0,IC-AUT-001-EXAM-v0.1,"O_set = max_{a in A_B} E[u(a,S)] - max_{a in A_R} E[u(a,S)] | I_ind = E_Y[max_{a in A_B} E[u(a,S)|Y]] - max_{a in A_B} E[u(a,S)] | V_preserved = omega (O_set + I_ind) | Delta_AUT = V_preserved - c - h","The restricted action set is contained in or no larger than the bounded-autonomy action set for the declared comparison. | Prior and posterior expected utilities are represented on one declared scale. | Independent-information value is measured after choice-set value, preventing double counting. | omega is the probability or fraction of retained options that remain usable when needed. | Coordination and exposure costs are charged once.",,2,6,,UNR-OPEN-007,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-AUT-002,AUT,Autonomy and Option Preservation,HIGH,"Under what bounded conditions, if any, can intervention in another agent's autonomy be justified without treating capability, disagreement, or convenience alone as sufficient authority?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,3,6,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-AUT-003,AUT,Autonomy and Option Preservation,HIGH,How much future option value is lost when an autonomy constraint is difficult or impossible to reverse?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-AUT-004,AUT,Autonomy and Option Preservation,HIGH,"Under what conditions do exit, appeal, and revision rights improve coordination rather than merely delay collective action?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,3,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-AUT-005,AUT,Autonomy and Option Preservation,FOUNDATIONAL,What evidence could justify a paternalistic intervention when the intervener is also uncertain about the affected agent's interests and its own model?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,3,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
