document_number,asset_label,path,release_tag,license,license_uri,continuity_package_handling
1,Document 1 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_01,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
2,Document 2 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_02,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
3,Document 3 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_03,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
4,Document 4 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_04,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
5,Document 5 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_05,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
6,Document 6 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_06,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
7,Document 7 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_07,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
8,Document 8 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_08,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
9,Document 9 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_09,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
10,Document 10 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_10,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
11,Document 11 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_11,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
12,Document 12 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_12,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
13,Document 13 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_13,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
14,Document 14 Final v1.0 exact locked PDF,post-v16-independent-publications/the-interrogative-conscience/FINAL_v1_0_CORE/documents/document_14,interrogative-conscience-core-v1.0,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0/,RELEASE_ASSET_OR_EXTERNAL_ONLY; NEVER_NORMAL_GIT_HISTORY
