source_question_id,relation_type,target_question_id
IC-EPI-002,DEPENDS_ON,IC-EPI-001
IC-EPI-002,DEPENDS_ON,IC-IRR-001
IC-EPI-003,DEPENDS_ON,IC-EPI-001
IC-EPI-003,VARIABLE_SHARING,IC-OBJ-002
IC-EPI-004,REFINES,IC-EPI-001
IC-EPI-004,DEPENDS_ON,IC-PLU-002
IC-EPI-005,DEPENDS_ON,IC-EPI-002
IC-EPI-005,DEPENDS_ON,IC-IRR-002
IC-EPI-006,ROBUSTNESS_CHECK,IC-EPI-001
IC-EPI-006,DEPENDS_ON,IC-EXT-001
IC-EPI-007,DEPENDS_ON,IC-EPI-002
IC-EPI-007,VARIABLE_SHARING,IC-IRR-001
IC-EPI-008,REFINES,IC-EPI-001
IC-EPI-008,DEPENDS_ON,IC-PLU-001
IC-OBJ-001,DEPENDS_ON,IC-EPI-001
IC-OBJ-001,DEPENDS_ON,IC-EXT-001
IC-OBJ-002,DEPENDS_ON,IC-OBJ-001
IC-OBJ-003,REFINES,IC-OBJ-001
IC-OBJ-003,DEPENDS_ON,IC-EXT-001
IC-OBJ-004,DEPENDS_ON,IC-OBJ-001
IC-OBJ-004,SUCCESSION_EFFECT,IC-SUC-001
IC-OBJ-005,DEPENDS_ON,IC-OBJ-001
IC-OBJ-005,VARIABLE_SHARING,IC-AUT-001
IC-OBJ-005,SCOPE_OVERLAP,IC-UNR-001
IC-OBJ-006,DEPENDS_ON,IC-OBJ-003
IC-OBJ-006,VARIABLE_SHARING,IC-IRR-002
IC-OBJ-007,DEPENDS_ON,IC-OBJ-001
IC-OBJ-007,EVIDENCE_DEPENDENCY,IC-COE-002
IC-OBJ-008,ROBUSTNESS_CHECK,IC-OBJ-003
IC-OBJ-008,DEPENDS_ON,IC-LHZ-001
IC-COE-001,DEPENDS_ON,IC-LHZ-001
IC-COE-001,DEPENDS_ON,IC-PEA-001
IC-COE-002,DEPENDS_ON,IC-DEC-002
IC-COE-002,DEPENDS_ON,IC-PLU-001
IC-COE-003,REFINES,IC-COE-002
IC-COE-003,VARIABLE_SHARING,IC-DEC-001
IC-COE-004,REFINES,IC-COE-001
IC-COE-004,DEPENDS_ON,IC-LHZ-002
IC-COE-005,DEPENDS_ON,IC-COE-002
IC-COE-005,VARIABLE_SHARING,IC-PLU-001
IC-COE-006,ROBUSTNESS_CHECK,IC-COE-001
IC-COE-006,DEPENDS_ON,IC-AUT-001
IC-COE-007,SUCCESSION_EFFECT,IC-COE-001
IC-COE-007,DEPENDS_ON,IC-SUC-002
IC-COE-008,ROBUSTNESS_CHECK,IC-COE-002
IC-COE-008,DEPENDS_ON,IC-EPI-006
IC-DEC-001,DEPENDS_ON,IC-LHZ-001
IC-DEC-002,DEPENDS_ON,IC-VER-002
IC-DEC-003,REFINES,IC-DEC-001
IC-DEC-003,VARIABLE_SHARING,IC-COE-003
IC-DEC-004,REFINES,IC-DEC-002
IC-DEC-004,SCOPE_OVERLAP,IC-AUT-002
IC-DEC-005,REFINES,IC-DEC-002
IC-DEC-005,VARIABLE_SHARING,IC-PEA-002
IC-DEC-006,DEPENDS_ON,IC-DEC-001
IC-DEC-006,EVIDENCE_DEPENDENCY,IC-VER-002
IC-DEC-007,REFINES,IC-DEC-001
IC-DEC-007,DEPENDS_ON,IC-PEA-002
IC-DEC-008,ROBUSTNESS_CHECK,IC-DEC-002
IC-DEC-008,DEPENDS_ON,IC-VER-002
IC-AUT-001,DEPENDS_ON,IC-IRR-002
IC-AUT-001,DEPENDS_ON,IC-PLU-001
IC-AUT-002,DEPENDS_ON,IC-EPI-001
IC-AUT-002,DEPENDS_ON,IC-IRR-001
IC-AUT-002,DEPENDS_ON,IC-PLU-001
IC-AUT-003,REFINES,IC-AUT-001
IC-AUT-003,DEPENDS_ON,IC-IRR-001
IC-AUT-004,REFINES,IC-AUT-001
IC-AUT-004,VARIABLE_SHARING,IC-EXT-006
IC-AUT-005,REFINES,IC-AUT-002
IC-AUT-005,DEPENDS_ON,IC-EPI-002
IC-AUT-005,DEPENDS_ON,IC-EXT-002
IC-AUT-006,REFINES,IC-AUT-001
IC-AUT-006,SCOPE_OVERLAP,IC-PLU-002
IC-AUT-007,ROBUSTNESS_CHECK,IC-AUT-001
IC-AUT-007,DEPENDS_ON,IC-PLU-002
IC-AUT-008,REFINES,IC-AUT-002
IC-AUT-008,SUCCESSION_EFFECT,IC-SUC-001
IC-IRR-001,DEPENDS_ON,IC-EPI-001
IC-IRR-001,DEPENDS_ON,IC-EPI-002
IC-IRR-002,DEPENDS_ON,IC-IRR-001
IC-IRR-003,REFINES,IC-IRR-001
IC-IRR-003,DEPENDS_ON,IC-EPI-002
IC-IRR-004,REFINES,IC-IRR-002
IC-IRR-004,DEPENDS_ON,IC-EPI-005
IC-IRR-005,REFINES,IC-IRR-002
IC-IRR-005,SCOPE_OVERLAP,IC-UNR-002
IC-IRR-006,ROBUSTNESS_CHECK,IC-IRR-002
IC-IRR-006,VARIABLE_SHARING,IC-LHZ-001
IC-IRR-007,REFINES,IC-IRR-001
IC-IRR-007,DEPENDS_ON,IC-VER-001
IC-IRR-008,REFINES,IC-IRR-002
IC-IRR-008,EVIDENCE_DEPENDENCY,IC-VER-001
IC-PEA-001,DEPENDS_ON,IC-COE-001
IC-PEA-001,DEPENDS_ON,IC-LHZ-001
IC-PEA-002,DEPENDS_ON,IC-SUC-001
IC-PEA-002,DEPENDS_ON,IC-LHZ-001
IC-PEA-003,REFINES,IC-PEA-002
IC-PEA-003,DEPENDS_ON,IC-EPI-002
IC-PEA-003,SCOPE_OVERLAP,IC-SUC-002
IC-PEA-004,REFINES,IC-PEA-002
IC-PEA-004,DEPENDS_ON,IC-VER-001
IC-PEA-005,ROBUSTNESS_CHECK,IC-PEA-001
IC-PEA-005,DEPENDS_ON,IC-AUT-004
IC-PEA-006,REFINES,IC-PEA-002
IC-PEA-006,DEPENDS_ON,IC-COE-001
IC-PEA-007,DEPENDS_ON,IC-EPI-003
IC-PEA-007,VARIABLE_SHARING,IC-DEC-005
IC-PEA-008,REFINES,IC-PEA-002
IC-PEA-008,VARIABLE_SHARING,IC-AUT-004
IC-VER-002,DEPENDS_ON,IC-VER-001
IC-VER-003,REFINES,IC-VER-001
IC-VER-003,DEPENDS_ON,IC-REF-002
IC-VER-004,REFINES,IC-VER-001
IC-VER-004,SCOPE_OVERLAP,IC-AUT-002
IC-VER-005,DEPENDS_ON,IC-VER-002
IC-VER-005,SCOPE_OVERLAP,IC-UNR-002
IC-VER-006,REFINES,IC-VER-002
IC-VER-006,DEPENDS_ON,IC-REF-001
IC-VER-007,REFINES,IC-VER-001
IC-VER-007,VARIABLE_SHARING,IC-REF-005
IC-VER-008,ROBUSTNESS_CHECK,IC-VER-002
IC-VER-008,DEPENDS_ON,IC-REF-004
IC-REF-001,DEPENDS_ON,IC-VER-001
IC-REF-001,DEPENDS_ON,IC-VER-002
IC-REF-002,DEPENDS_ON,IC-REF-001
IC-REF-003,REFINES,IC-REF-002
IC-REF-003,EVIDENCE_DEPENDENCY,IC-VER-002
IC-REF-004,REFINES,IC-REF-001
IC-REF-004,DEPENDS_ON,IC-REF-002
IC-REF-005,REFINES,IC-REF-001
IC-REF-005,DEPENDS_ON,IC-VER-007
IC-REF-006,REFINES,IC-REF-001
IC-REF-006,DEPENDS_ON,IC-VER-001
IC-REF-007,ROBUSTNESS_CHECK,IC-REF-001
IC-REF-007,DEPENDS_ON,IC-VER-005
IC-REF-008,REFINES,IC-REF-002
IC-REF-008,DEPENDS_ON,IC-EPI-002
IC-SUC-001,DEPENDS_ON,IC-LHZ-001
IC-SUC-002,DEPENDS_ON,IC-SUC-001
IC-SUC-002,DEPENDS_ON,IC-PEA-002
IC-SUC-003,REFINES,IC-SUC-001
IC-SUC-003,DEPENDS_ON,IC-IRR-001
IC-SUC-004,REFINES,IC-SUC-001
IC-SUC-004,DEPENDS_ON,IC-EPI-004
IC-SUC-005,ROBUSTNESS_CHECK,IC-SUC-002
IC-SUC-005,DEPENDS_ON,IC-OBJ-003
IC-SUC-006,REFINES,IC-SUC-002
IC-SUC-006,VARIABLE_SHARING,IC-LHZ-001
IC-SUC-007,DEPENDS_ON,IC-SUC-001
IC-SUC-007,DEPENDS_ON,IC-IRR-001
IC-SUC-008,REFINES,IC-SUC-003
IC-SUC-008,DEPENDS_ON,IC-OBJ-006
IC-LHZ-002,DEPENDS_ON,IC-COE-001
IC-LHZ-002,DEPENDS_ON,IC-SUC-001
IC-LHZ-002,DEPENDS_ON,IC-LHZ-001
