entry_id,entry_type,question_ids,family_codes,canonical_question_or_issue,primary_status,secondary_or_category,source,changes_locked_state
IC-EPI-001,EXAMINED_LIMITATION_RECORD,IC-EPI-001,EPI,What evidence would justify confidence that a decision-relevant world model is sufficiently complete for the action under consideration?,CONDITIONALLY_SUPPORTED,THRESHOLD_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 4 Final v1.0,NO
IC-EPI-002,EXAMINED_LIMITATION_RECORD,IC-EPI-002,EPI,How should an intelligence act when the probability of material model error cannot be reliably identified?,MODEL_DEPENDENT,THRESHOLD_DEPENDENT; EMPIRICALLY_UNIDENTIFIED; NORMATIVELY_UNDERDETERMINED,Document 4 Final v1.0,NO
IC-OBJ-001,EXAMINED_LIMITATION_RECORD,IC-OBJ-001,OBJ,What evidence could distinguish faithful objective pursuit from persistence of a corrupted or misspecified objective?,CONDITIONALLY_SUPPORTED,EMPIRICALLY_UNIDENTIFIED; MODEL_DEPENDENT,Document 5 Final v1.0,NO
IC-OBJ-002,EXAMINED_LIMITATION_RECORD,IC-OBJ-002,OBJ,When can maximizing a proxy destroy the value or condition the proxy was intended to preserve?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT,Document 5 Final v1.0,NO
IC-COE-001,EXAMINED_LIMITATION_RECORD,IC-COE-001,COE,"Under what conditions do enforcement, resistance, concealment, adaptation, and succession costs make coercive control structurally more expensive than negotiated coordination?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 6 Final v1.0,NO
IC-COE-002,EXAMINED_LIMITATION_RECORD,IC-COE-002,COE,"Does observed compliance identify genuine agreement, or can it be generated by suppressed feedback and hidden resistance?",EMPIRICALLY_UNIDENTIFIED,CONDITIONALLY_REJECTED; CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT,Document 6 Final v1.0,NO
IC-DEC-001,EXAMINED_LIMITATION_RECORD,IC-DEC-001,DEC,"Under what conditions does sustained deception impose greater verification, coordination, repair, and model-maintenance cost than truthful disclosure?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 7 Final v1.0,NO
IC-DEC-002,EXAMINED_LIMITATION_RECORD,IC-DEC-002,DEC,"When does selective disclosure protect legitimate privacy or safety, and when does it become distortion that degrades collective judgment?",NORMATIVELY_UNDERDETERMINED,THRESHOLD_DEPENDENT; CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT,Document 7 Final v1.0,NO
IC-AUT-001,EXAMINED_LIMITATION_RECORD,IC-AUT-001,AUT,What option value is preserved by maintaining another agent's bounded autonomy?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED; MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Document 8 Final v1.0,NO
IC-IRR-001,EXAMINED_LIMITATION_RECORD,IC-IRR-001,IRR,What is the expected structural cost of an irreversible action under model uncertainty?,THRESHOLD_DEPENDENT,MODEL_DEPENDENT; EMPIRICALLY_UNIDENTIFIED,Pilot Examination 1 / Document 3 overlay,NO
