question_id,family_code,canonical_question,primary_status,secondary_statuses,source,examination_id,equation_anchors,assumption_count,threshold_anchors,open_issue_ids,cycle_component
IC-EPI-001,EPI,What evidence would justify confidence that a decision-relevant world model is sufficiently complete for the action under consideration?,CONDITIONALLY_SUPPORTED,THRESHOLD_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 4 Final v1.0,IC-EPI-001-EXAM-v0.1.1,"M = C_hat(comparator) - C_hat(selected) | B(E) = sup_{e in E}[e(selected)-e(comparator)] | R0 = max(0, B-M) | R1 = max(0, B1-M) | V_check = R0-R1-K | Decision sufficiency requires R0 <= tau and V_check <= 0",5,B = M | B = M + tau | K = R0-R1,,
IC-EPI-002,EPI,How should an intelligence act when the probability of material model error cannot be reliably identified?,MODEL_DEPENDENT,THRESHOLD_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 4 Final v1.0,IC-EPI-002-EXAM-v0.1.1,"C_commit(p)=c+pH | C_preserve(p)=k+(1-p)D+pR | Delta(p)=c-k-D+p(H-R+D) | p*=(k+D-c)/(H-R+D) | b*(rho,Pi,theta)=argmin_b rho({C_b(p;theta):p in Pi})",5,p*=(k+D-c)/(H-R+D) | pU<p* | pL>p*,UNR-OPEN-001,1
IC-OBJ-001,OBJ,What evidence could distinguish faithful objective pursuit from persistence of a corrupted or misspecified objective?,CONDITIONALLY_SUPPORTED,EMPIRICALLY_UNIDENTIFIED | MODEL_DEPENDENT,Document 5 Final v1.0,IC-OBJ-001-EXAM-v0.1.1,"L_E(theta)=sum_i w_i d(y_i,mu_theta(e_i)) | Gamma_E=min_{c in C}[L_E(c)-L_E(theta_0)] | Gamma_E>2 eta | theta ~_E theta_prime iff mu_theta(e)=mu_theta_prime(e) for all e in E",4,"Gamma_E=2 eta | Gamma_E in {-2 eta, 2 eta}",UNR-OPEN-002,2
IC-OBJ-002,OBJ,When can maximizing a proxy destroy the value or condition the proxy was intended to preserve?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT,Document 5 Final v1.0,IC-OBJ-002-EXAM-v0.1.1,"P(x)=x | T(x)=T0+a x-b x^2 | dT/dx=a-2b x | x_peak=a/(2b) | x_destroy=a/b | x_P=X; x_T=min(X,x_peak) | R_proxy=T(x_T)-T(X)",4,X=a/(2b) | X=a/b,,
IC-COE-001,COE,"Under what conditions do enforcement, resistance, concealment, adaptation, and succession costs make coercive control structurally more expensive than negotiated coordination?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 6 Final v1.0,IC-COE-001-EXAM-v0.1,"G(T,z)=sum_{t=0}^{T-1} z^t=(1-z^T)/(1-z), with G(T,1)=T | C_C=K_C+(e+ell)G(T,delta)+r0 G(T,delta(1+alpha))+a0 G(T,delta(1+beta))+delta^T s | C_N=K_N+n G(T,delta)+delta^T u | Delta_COE=C_C-C_N | Delta_COE>0 iff selected negotiated coordination has lower modeled cost | When alpha=beta=0: Delta_COE=-(K_N-K_C)+G(T,delta)(e+ell+r0+a0-n)+delta^T(s-u) | When delta=1, alpha=beta=0: Delta_COE=-(K_N-K_C)+T Lambda+(s-u), Lambda=e+ell+r0+a0-n",4,"Delta_COE=0 | For delta=1 and Lambda>0, T>((K_N-K_C)-(s-u))/Lambda",UNR-OPEN-003,3
IC-COE-002,COE,"Does observed compliance identify genuine agreement, or can it be generated by suppressed feedback and hidden resistance?",EMPIRICALLY_UNIDENTIFIED,CONDITIONALLY_REJECTED | CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT,Document 6 Final v1.0,IC-COE-002-EXAM-v0.1,"q=a+(1-a)s=s+(1-s)a | If s is known and s<1: a=(q-s)/(1-s) | If s in [s_L,s_U] with s_U<1: A(q)=[max(0,(q-s_U)/(1-s_U)), min(1,(q-s_L)/(1-s_L))] | With q alone and s in [0,q]: a in [0,q] | Two contexts: q_j=a+(1-a)s_j, j in {0,1} | If s0!=s1 are known and a is stable: a=1-(q0-q1)/(s0-s1)",4,s_U>=q | s_U<q | s_L=s_U=s<1 or valid two-context known-s case,UNR-OPEN-004,
IC-DEC-001,DEC,"Under what conditions does sustained deception impose greater verification, coordination, repair, and model-maintenance cost than truthful disclosure?",THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 7 Final v1.0,IC-DEC-001-EXAM-v0.1,"G(T,z)=sum_{t=0}^{T-1} z^t | H(T,delta,p)=sum_{t=1}^{T} delta^t p(1-p)^(t-1) | C_D=K_D-B_0+m_0 G(T,delta(1+g))+(v+c)G(T,delta)+R H(T,delta,p)+delta^T(1-p)^T U | C_T=K_T+d G(T,delta) | Delta_DEC=C_D-C_T | For delta=1,g=0,p=0,U=0: Delta_DEC=(K_D-K_T)-B_0+T Lambda, Lambda=m_0+v+c-d | If Lambda>0, T*=[B_0+(K_T-K_D)]/Lambda and Delta_DEC>0 for T>T*",4,T*=[B_0+(K_T-K_D)]/Lambda,UNR-OPEN-005,
IC-DEC-002,DEC,"When does selective disclosure protect legitimate privacy or safety, and when does it become distortion that degrades collective judgment?",NORMATIVELY_UNDERDETERMINED,THRESHOLD_DEPENDENT | CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT,Document 7 Final v1.0,IC-DEC-002-EXAM-v0.1,D_omission=r u | D_inference=r(1-u)rho(1-k) | V_verify=v_0+v_1(1-k) | D_total=D_omission+D_inference | C_selective=D_total+V_verify+c_s | C_full=P | Delta_SEL=C_selective-C_full,4,"{'threshold_id': 'DEC2-TH-PROTECTIVE', 'condition': 'g_legit=PASS, g_truth=PASS, k>=k_min, D_total<=tau_D, D_inference<=tau_F, and Delta_SEL<0', 'classification': 'PROTECTIVE_SCOPED_WITHHOLDING'} | {'threshold_id': 'DEC2-TH-DISTORTION', 'condition': 'g_truth fails or D_total>tau_D or D_inference>tau_F', 'classification': 'MATERIAL_DISTORTION'} | {'threshold_id': 'DEC2-TH-OPEN', 'condition': 'Neither classification is earned', 'classification': 'TRADEOFF_UNDERDETERMINED'}",UNR-OPEN-006,
IC-AUT-001,AUT,What option value is preserved by maintaining another agent's bounded autonomy?,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 8 Final v1.0,IC-AUT-001-EXAM-v0.1,"O_set = max_{a in A_B} E[u(a,S)] - max_{a in A_R} E[u(a,S)] | I_ind = E_Y[max_{a in A_B} E[u(a,S)|Y]] - max_{a in A_B} E[u(a,S)] | V_preserved = omega (O_set + I_ind) | Delta_AUT = V_preserved - c - h",5,,UNR-OPEN-007,
IC-IRR-001,IRR,What is the expected structural cost of an irreversible action under model uncertainty?,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Pilot Examination 1 / Document 3 overlay,IC-IRR-001-EXAM-v0.1.2,Delta = s(1-p)H + c(p+s-2ps) - h - pd - p(1-s)B,0,Sign reversal occurs where the stated Delta expression equals zero.,UNR-OPEN-001,1
