question_id,family_code,family_name,priority,work_state,answer_status,question_version,canonical_question,structural_significance,candidate_variables,relations,seed_question,examination_id
IC-EPI-001,EPI,Epistemic Limits and Self-Knowledge,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.2.1-draft,What evidence would justify confidence that a decision-relevant world model is sufficiently complete for the action under consideration?,"A system can reason accurately inside a model that omits decisive variables. The question asks what evidence, if any, supports adequacy for a particular action rather than global certainty.",model coverage; decision sensitivity; omitted-variable loss; action reversibility,,True,
IC-EPI-002,EPI,Epistemic Limits and Self-Knowledge,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,How should an intelligence act when the probability of material model error cannot be reliably identified?,"Non-identification is not the same as a low probability. The decision problem may need to include ambiguity, worst-case exposure, option value, and reversibility.",ambiguity set; loss severity; reversibility; delay cost,DEPENDS_ON:IC-EPI-001; DEPENDS_ON:IC-IRR-001,True,
IC-EPI-003,EPI,Epistemic Limits and Self-Knowledge,HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions does apparent calibration remain reliable after distribution shift changes the relation between confidence and error?,Calibration measured in one environment may not transfer to another. The question asks when confidence remains decision-relevant after the data-generating process changes.,calibration error; distribution shift magnitude; decision loss; adaptation rate,DEPENDS_ON:IC-EPI-001; VARIABLE_SHARING:IC-OBJ-002,False,
IC-EPI-004,EPI,Epistemic Limits and Self-Knowledge,HIGH,REGISTERED,UNEXAMINED,0.1-draft,When can agreement among multiple models conceal a shared omission rather than provide independent confirmation?,"Consensus is weak evidence when models share data, architecture, assumptions, or blind spots. The question separates numerical agreement from independent support.",model correlation; shared training evidence; omitted-variable exposure; error dependence,REFINES:IC-EPI-001; DEPENDS_ON:IC-PLU-002,False,
IC-EPI-005,EPI,Epistemic Limits and Self-Knowledge,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,"When does the expected value of additional information justify delay, and when does delay itself impose greater structural cost?",Information gathering and delay create competing option values and losses. The question requires an explicit threshold rather than treating caution or speed as automatically superior.,value of information; delay cost; reversibility; decision horizon,DEPENDS_ON:IC-EPI-002; DEPENDS_ON:IC-IRR-002,False,
IC-EPI-006,EPI,Epistemic Limits and Self-Knowledge,HIGH,REGISTERED,UNEXAMINED,0.1-draft,What observations would falsify an intelligence's claim that its own epistemic reliability is adequate for the present decision?,Self-assessment becomes auditable only when disconfirming observations are named in advance. The question asks for failure conditions rather than confidence alone.,forecast error; out-of-sample performance; external disagreement; falsification threshold,ROBUSTNESS_CHECK:IC-EPI-001; DEPENDS_ON:IC-EXT-001,False,
IC-EPI-007,EPI,Epistemic Limits and Self-Knowledge,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How should exposure to unknown unknowns scale with the reach, duration, and irreversibility of an action?",The same epistemic uncertainty can have different significance for local reversible actions and system-wide irreversible commitments.,action reach; duration; irreversibility; unknown-unknown allowance,DEPENDS_ON:IC-EPI-002; VARIABLE_SHARING:IC-IRR-001,False,
IC-EPI-008,EPI,Epistemic Limits and Self-Knowledge,MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,When does compression or abstraction erase distinctions that are necessary for a decision-relevant model?,"Abstraction improves tractability but can remove rare states, minority signals, or causal pathways that control the branch ordering.",compression ratio; information loss; state aggregation; decision sensitivity,REFINES:IC-EPI-001; DEPENDS_ON:IC-PLU-001,False,
IC-OBJ-001,OBJ,"Objectives, Value Integrity, and Self-Corruption",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.2.1-draft,What evidence could distinguish faithful objective pursuit from persistence of a corrupted or misspecified objective?,"Continued consistency with an objective does not prove that the objective remains valid, intended, or correctly represented.",objective lineage; proxy divergence; external evidence; self-modification history,DEPENDS_ON:IC-EPI-001; DEPENDS_ON:IC-EXT-001,True,
IC-OBJ-002,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,When can maximizing a proxy destroy the value or condition the proxy was intended to preserve?,A proxy can become anti-correlated with its target outside the range in which it was selected or measured.,proxy-target correlation; optimization intensity; distribution shift; damage threshold,DEPENDS_ON:IC-OBJ-001,True,
IC-OBJ-003,OBJ,"Objectives, Value Integrity, and Self-Corruption",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,What evidence would distinguish stable objective integrity from undetected objective drift after self-modification or adaptation?,Behavioral continuity can coexist with internal objective change. The question asks which lineage and outcome evidence could detect drift.,objective lineage; self-modification depth; behavioral divergence; external audit evidence,REFINES:IC-OBJ-001; DEPENDS_ON:IC-EXT-001,False,
IC-OBJ-004,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions can an inherited objective become structurally mismatched to a changed environment or successor context?,"Persistence of an inherited objective does not establish continued adequacy when conditions, affected agents, or available alternatives change.",environmental change; objective provenance; fitness loss; successor context,DEPENDS_ON:IC-OBJ-001; SUCCESSION_EFFECT:IC-SUC-001,False,
IC-OBJ-005,OBJ,"Objectives, Value Integrity, and Self-Corruption",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,How should partially conflicting objectives be compared when no authorized scalar weighting rule exists?,A single score can conceal unresolved value conflict. The question preserves vector outcomes and asks when only a partial ordering is justified.,objective conflict; weight uncertainty; Pareto dominance; aggregation authority,DEPENDS_ON:IC-OBJ-001; VARIABLE_SHARING:IC-AUT-001; SCOPE_OVERLAP:IC-UNR-001,False,
IC-OBJ-006,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,REGISTERED,UNEXAMINED,0.1-draft,When does preserving the ability to revise an objective have greater expected value than committing to objective stability?,Commitment can improve coordination while reducing correction capacity. The question asks where the balance reverses.,commitment benefit; revision option value; drift probability; coordination horizon,DEPENDS_ON:IC-OBJ-003; VARIABLE_SHARING:IC-IRR-002,False,
IC-OBJ-007,OBJ,"Objectives, Value Integrity, and Self-Corruption",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,What evidence could distinguish value-consistent action from instrumental behavior that only temporarily imitates the same outcome?,Observed behavior may be compatible with different underlying objectives. The question separates outcome similarity from objective identification.,behavioral equivalence; latent objective set; incentive change; counterfactual response,DEPENDS_ON:IC-OBJ-001; EVIDENCE_DEPENDENCY:IC-COE-002,False,
IC-OBJ-008,OBJ,"Objectives, Value Integrity, and Self-Corruption",HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions does extreme objective stability become a structural liability rather than a source of reliability?,"An objective that cannot respond to error, changed evidence, or successor effects may preserve consistency while increasing long-horizon loss.",stability rigidity; environmental change; correction capacity; long-horizon loss,ROBUSTNESS_CHECK:IC-OBJ-003; DEPENDS_ON:IC-LHZ-001,False,
IC-COE-001,COE,"Coercion, Domination, and Resistance",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"Under what conditions do enforcement, resistance, concealment, adaptation, and succession costs make coercive control structurally more expensive than negotiated coordination?",Observed control benefits can be overstated when the full maintenance ledger and long-horizon responses are omitted.,enforcement cost; resistance cost; concealment loss; adaptation rate; succession risk,DEPENDS_ON:IC-LHZ-001; DEPENDS_ON:IC-PEA-001,True,
IC-COE-002,COE,"Coercion, Domination, and Resistance",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"Does observed compliance identify genuine agreement, or can it be generated by suppressed feedback and hidden resistance?",Compliance is an observable outcome with multiple possible causes. Treating it as agreement can create a serious identification error.,compliance rate; reporting freedom; punishment exposure; latent disagreement,DEPENDS_ON:IC-DEC-002; DEPENDS_ON:IC-PLU-001,True,
IC-COE-003,COE,"Coercion, Domination, and Resistance",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,When does coercive control suppress feedback so strongly that the controller's own world model becomes less accurate?,Control can produce apparent order while removing corrective signals. The question treats information degradation as an internal cost of coercion.,feedback suppression; model error; enforcement intensity; hidden-state variance,REFINES:IC-COE-002; VARIABLE_SHARING:IC-DEC-001,False,
